"","","","","","","","","","","","","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Batting Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats","Pitching Stats",""
"Rk","Name","YoB","Votes","%vote","HOFm","HOFs","Yrs","WAR","WAR7","JAWS","Jpos","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","OPS+","W","L","ERA","ERA+","WHIP","G","GS","SV","IP","H","HR","BB","SO","Pos Summary"
"1","Scott Rolen","6th","297","76.3%","99","40","17","70.1","43.6","56.9","56.3","2038","7398","1211","2077","316","1287","118","899",".281",".364",".490",".855","122","","","","","","","","","","","","","","*5/H"
"2","Todd Helton HOF","5th","281","72.2%","175","59","17","61.8","46.6","54.2","53.4","2247","7962","1401","2519","369","1406","37","1335",".316",".414",".539",".953","133","","","","","","","","","","","","","","*3H/7D9"
"3","Billy Wagner","8th","265","68.1%","107","24","16","27.7","19.8","23.7","32.5","810","20","1","2","0","1","0","1",".100",".143",".100",".243","-35","47","40","2.31","187","0.998","853","0","422","903.0","601","82","300","1196","*1"
"4","Andruw Jones","6th","226","58.1%","109","34","17","62.7","46.4","54.6","58.2","2196","7599","1204","1933","434","1289","152","891",".254",".337",".486",".823","111","","","","","","","","","","","","","","*89H7D/3"
"5","Gary Sheffield","9th","214","55.0%","158","61","22","60.5","38.0","49.3","56.7","2576","9217","1636","2689","509","1676","253","1475",".292",".393",".514",".907","140","","","","","","","","","","","","","","*9*7*5*D6H/3"
"6","Carlos Beltrán","1st","181","46.5%","126","52","20","70.1","44.4","57.3","58.2","2586","9768","1582","2725","435","1587","312","1084",".279",".350",".486",".837","119","","","","","","","","","","","","","","*8*9*DH/73"
"7","X-Jeff Kent","10th","181","46.5%","123","51","17","55.4","35.8","45.6","57.1","2298","8498","1320","2461","377","1518","94","801",".290",".356",".500",".855","123","","","","","","","","","","","","","","*453H/D6"
"8","Alex Rodriguez","2nd","139","35.7%","390","77","22","117.6","64.3","90.9","55.5","2784","10566","2021","3115","696","2086","329","1338",".295",".380",".550",".930","140","","","","","","","","","","","","","","*6*5DH/3"
"9","Manny Ramirez","7th","129","33.2%","226","69","19","69.3","39.9","54.6","53.4","2302","8244","1544","2574","555","1831","38","1329",".312",".411",".585",".996","154","","","","","","","","","","","","","","*7*9*DH"
"10","Omar Vizquel","6th","76","19.5%","120","42","24","45.6","26.8","36.2","55.5","2968","10586","1445","2877","80","951","404","1028",".272",".336",".352",".688","82","","","","","","","","","","","","","","*65H4/D379"
"11","Andy Pettitte","5th","66","17.0%","128","44","18","60.2","34.1","47.2","61.5","108","196","6","27","1","13","0","6",".138",".163",".184",".346","-10","256","153","3.85","117","1.351","531","521","0","3316.0","3448","288","1031","2448","*1/H"
"12","Bobby Abreu","4th","60","15.4%","95","54","18","60.2","41.6","50.9","56.7","2425","8480","1453","2470","288","1363","400","1476",".291",".395",".475",".870","128","","","","","","","","","","","","","","*9DH7/8"
"13","Jimmy Rollins","2nd","50","12.9%","121","42","17","47.6","32.6","40.1","55.5","2275","9294","1421","2455","231","936","470","813",".264",".324",".418",".743","95","","","","","","","","","","","","","","*6H/D4"
"14","Mark Buehrle","3rd","42","10.8%","52","31","16","59.1","35.8","47.4","61.5","55","125","4","9","1","3","0","2",".072",".087",".112",".199","-47","214","160","3.81","117","1.281","518","493","0","3283.1","3472","361","734","1870","*1"
"15","Francisco Rodríguez","1st","42","10.8%","124","16","16","24.2","17.6","20.9","32.5","437","2","0","1","0","0","0","0",".500",".500",".500","1.000","178","52","53","2.86","148","1.155","948","0","437","976.0","738","98","389","1142","*1"
"16","Torii Hunter","3rd","27","6.9%","58","34","19","50.7","30.8","40.7","58.2","2372","8857","1296","2452","353","1391","195","661",".277",".331",".461",".793","110","","","","","","","","","","","","","","*8*9DH/7"
"17","X-Huston Street","1st","1","0.3%","57","23","13","14.5","12.2","13.3","32.5","304","2","0","0","0","0","0","0",".000",".000",".000",".000","-100","42","34","2.95","141","1.066","668","0","324","680.0","542","70","183","665","*1"
"18","X-Bronson Arroyo","1st","1","0.3%","15","15","16","23.4","22.8","23.1","61.5","353","629","35","81","6","29","1","14",".129",".148",".183",".331","-13","148","137","4.28","101","1.301","419","383","1","2435.2","2507","347","661","1571","*1/H"
"19","X-Mike Napoli","1st","1","0.3%","17","25","12","26.3","22.0","24.2","44.3","1392","4572","697","1125","267","744","39","650",".246",".346",".475",".821","117","","","","","","","","","","","","","","*3*2DH/7"
"20","X-John Lackey","1st","1","0.3%","48","28","15","37.3","29.2","33.3","61.5","121","236","6","26","0","8","1","9",".110",".143",".140",".283","-24","188","147","3.92","110","1.295","448","446","0","2840.1","2862","319","815","2294","*1/H"
"21","X-R.A. Dickey","1st","1","0.3%","25","11","15","23.7","22.4","23.0","61.5","137","267","13","45","0","16","0","4",".169",".184",".180",".364","0","120","118","4.04","103","1.300","400","300","2","2073.2","2033","264","663","1477","*1/H"
"22","X-Jhonny Peralta","1st","0","0.0%","34","24","15","30.4","26.5","28.5","55.5","1798","6599","841","1761","202","873","17","606",".267",".329",".423",".752","102","","","","","","","","","","","","","","*65H/D37"
"23","X-J.J. Hardy","1st","0","0.0%","18","19","13","28.1","24.0","26.0","55.5","1561","5805","718","1488","188","688","8","411",".256",".305",".408",".714","91","","","","","","","","","","","","","","*6/H"
"24","X-Andre Ethier","1st","0","0.0%","21","18","12","21.5","18.8","20.2","56.7","1455","4800","641","1367","162","687","29","519",".285",".359",".463",".822","122","","","","","","","","","","","","","","*97H8/D3"
"25","X-Jacoby Ellsbury","1st","0","0.0%","36","16","11","31.2","28.0","29.6","58.2","1235","4846","749","1376","104","512","343","399",".284",".342",".417",".760","103","","","","","","","","","","","","","","*87H9/D"
"26","X-Matt Cain","1st","0","0.0%","26","14","13","29.1","29.0","29.1","61.5","332","611","27","74","7","34","0","21",".121",".151",".180",".331","-10","104","118","3.68","108","1.228","342","331","0","2085.2","1849","211","712","1694","*1/H"
"27","X-Jered Weaver","1st","0","0.0%","47","30","12","34.6","31.2","32.9","61.5","28","55","3","4","0","1","0","2",".073",".105",".073",".178","-50","150","98","3.63","111","1.191","331","331","0","2067.1","1912","262","551","1621","*1"
"28","X-Jayson Werth","1st","0","0.0%","19","23","15","29.2","27.5","28.3","56.7","1583","5484","883","1465","229","799","132","764",".267",".360",".455",".816","117","","","","","","","","","","","","","","*9*78H/D3"
